Nombre,Costo (USD),Cantidad,Ganancia (%),IVA (%)
"PAPEL ZINNIA PEQUEÑO",0.4,0,0,0
"CHINOTO 1.5",1.3,0,0,0
"ARROZ AGUA BLANCA",1.65,0,0,0
"AZÚCAR SANTO MELAO 800G",1.65,9.5,0,0
"MEGA BIT 120GR",1.41,0,0,0
"GALAK CHOCOLATE BLANCO",1.23,0,0,0
"KESITO PEQUEÑO",0.48,0,0,0
"BOLIKRUNCH 25GR",0.53,0,0,0
"TOCINETA PEQUE 7GR",0.26,0,0,0
"TOCINETA 16GR",0.44,0,0,0
"FRESCOLITA 1.5",1.3,0,0,0
"COCACOLA 1.5",1.3,0,0,0
"HOJA BLANCA",0.06,0,0,0
"VINAGRE HEINZ",1.43,24,0,0
"SALSA TOMATE HEINZ",1.5,0,0,0
"PAPEL ZEDITA",0.41,0,0,0
"PAPEL ZEDITA 4 ROLLOS",1.22,12,0,0
"COMPOTA POUCH",0.75,8,0,0
"CHICHA HUESITO",1,5,0,0
"HUESITO CHOCOLATE 1L",3.42,5,0,0
"LECHE CARABOBO 200ML",0.91,5,0,0
"COCOSETE",0.82,0,0,0
"SAMBA FRESA",0.87,20,0,0
"FREEGELLS",0.39,12,0,0
"GELATINA WYNCO",0.78,5,0,0
"LECHE DOBOM 125",1.28,0,0,0
"JABÓN AZUL BBE",0.91,0,0,0
"GALLETA MARIA PAQUETE",2.36,0,0,0
"CAFÉ BUEN CAFÉ 100",1.47,10,0,0
"CHICLE BUDS",0.21,17,0,0
"PRUEBA",1,5,30,0
"VASO",10.23,3,25,0
